Date,attendance,visitorCards,homeSeekers,specialOccasion
9/10/2017,46,1,1,
9/17/2017,49,1,,
9/24/2017,46,,,
10/1/2017,48,1,1,
10/8/2017,34,,,
10/15/2017,36,,,
10/22/2017,48,2,,
10/29/2017,42,2,1,
11/5/2017,41,1,1,
11/12/2017,50,3,1,
11/19/2017,46,,,
11/26/2017,49,1,1,
12/3/2017,43,,,
12/10/2017,49,1,,
12/17/2017,43,,,
12/24/2017,43,,,
12/31/2017,32,,,
1/7/2018,34,,,
1/14/2018,33,,,
1/21/2018,34,1,,
1/28/2018,51,3,,
2/4/2018,46,1,1,
2/11/2018,55,1,,
2/18/2018,54,,,
2/25/2018,55,,,
3/4/2018,35,,,
3/11/2018,40,,,
3/18/2018,36,,,
3/25/2018,66,,,
4/1/2018,90,1,,
4/8/2018,42,,,
4/15/2018,52,,,
4/22/2018,58,,,
4/29/2018,32,,,
5/6/2018,40,,,
5/13/2018,41,1,1,
5/20/2018,42,1,,
5/27/2018,45,,,
6/3/2018,50,,,
6/10/2018,40,,,
6/17/2018,47,,,
6/24/2018,48,,,
7/1/2018,46,,,
7/8/2018,35,3,,
7/15/2018,36,,,
7/22/2018,49,2,,
7/29/2018,44,1,,
8/5/2018,39,,,
8/12/2018,49,,,
8/19/2018,38,1,,
8/26/2018,52,1,,
9/2/2018,54,,1,
9/9/2018,48,2,,
9/16/2018,50,,,
9/23/2018,48,,,
9/30/2018,45,2,1,
10/7/2018,58,,,
10/14/2018,47,,,
10/21/2018,,1,,
10/28/2018,56,1,,
11/4/2018,56,1,1,
11/11/2018,46,,,
11/18/2018,60,,,
11/25/2018,36,1,1,
12/2/2018,48,,,
12/9/2018,69,,,
12/16/2018,40,,,
12/23/2018,38,,,
12/30/2018,38,,,
1/6/2019,38,,,
1/13/2019,47,6,1,
1/20/2019,20,,,
1/27/2019,49,1,,
2/3/2019,44,4,,
2/10/2019,50,1,,
2/17/2019,48,,,
2/24/2019,43,,,
3/3/2019,45,2,1,
3/10/2019,32,1,1,
3/17/2019,45,1,,
3/24/2019,51,,,
3/31/2019,52,3,1,
4/7/2019,52,1,,
4/14/2019,71,1,,
4/21/2019,102,2,1,
4/28/2019,55,2,2,
5/5/2019,38,0,,
5/12/2019,46,3,,
5/19/2019,61,2,,
5/26/2019,45,1,,
6/2/2019,52,,,
6/9/2019,54,,,
6/16/2019,50,1,,
6/23/2019,54,,,
6/30/2019,55,,,
7/7/2019,41,1,,
7/14/2019,44,,,
7/21/2019,46,2,,
7/28/2019,50,,,
8/4/2019,51,,,
8/11/2019,47,1,,
8/18/2019,56,1,1,
8/25/2019,62,2,1,
9/1/2019,56,,,
9/8/2019,59,,,
9/15/2019,56,,,
9/22/2019,59,1,,
9/29/2019,59,1,1,
10/6/2019,51,,,
10/13/2019,50,,,
10/20/2019,59,1,1,
10/27/2019,51,,,
11/3/2019,55,1,,
11/10/2019,58,,,
11/17/2019,51,1,,
11/24/2019,59,,,
12/1/2019,47,,,
12/8/2019,56,1,,
12/15/2019,54,1,1,
12/22/2019,57,,,
12/29/2019,30,,,
1/5/2020,49,,,
1/12/2020,51,,,
1/19/2020,50,,,
1/26/2020,46,,,
2/2/2020,54,,,
2/9/2020,48,1,,
2/16/2020,52,1,,
2/23/2020,60,1,,
3/1/2020,60,1,,
3/8/2020,44,2,,
3/15/2020,35,,,
3/22/2020,,,,
3/29/2020,,,,
4/5/2020,,,,
4/12/2020,,,,
4/19/2020,,,,
4/26/2020,,,,
5/3/2020,,,,
5/10/2020,,,,
5/17/2020,,,,
5/24/2020,,,,
5/31/2020,,,,
6/7/2020,36,,,
6/14/2020,33,,,
6/21/2020,27,,,
6/28/2020,36,,,
7/5/2020,21,,,
7/12/2020,32,,,
7/19/2020,40,,,
7/26/2020,34,,,
8/2/2020,36,,,
8/9/2020,36,1,,
8/16/2020,46,1,1,
8/23/2020,41,2,1,
8/30/2020,30,1,,
9/6/2020,32,,,
9/13/2020,34,,,
9/20/2020,37,,,
9/27/2020,38,,,
10/4/2020,35,,,
10/11/2020,38,,,
10/18/2020,41,,,
10/25/2020,35,1,1,
11/1/2020,41,,,
11/8/2020,38,,,
11/15/2020,41,1,,
11/22/2020,28,,,
11/29/2020,22,,,
12/6/2020,23,,,
12/13/2020,24,,,
12/20/2020,,,,
12/27/2020,,,,
1/3/2021,,,,
1/10/2021,,,,
1/17/2021,,,,
1/24/2021,,,,
1/31/2021,,,,
2/7/2021,35,,,
2/14/2021,24,,,
2/21/2021,25,,,
2/28/2021,33,,,
3/7/2021,33,,,
3/14/2021,40,1,1,
3/21/2021,40,,,
3/28/2021,49,,,
4/4/2021,63,,,
4/11/2021,38,,,
4/18/2021,43,,,
4/25/2021,51,,,
5/2/2021,36,,,
5/9/2021,50,,,
5/16/2021,52,,,
5/23/2021,44,,,
5/30/2021,41,1,,
6/6/2021,53,,,
6/13/2021,51,,,
6/20/2021,45,2,,
6/27/2021,56,,,
7/4/2021,45,,,
7/11/2021,52,,,
7/18/2021,45,,,
7/25/2021,61,,,
8/1/2021,51,,,
8/8/2021,51,,,
8/15/2021,48,,,
8/22/2021,60,1,,
8/29/2021,52,,,
9/5/2021,36,,,
9/12/2021,45,,,
9/19/2021,50,,,
9/26/2021,37,,,
10/3/2021,43,,,
10/10/2021,40,,,
10/17/2021,43,,,
10/24/2021,45,,,
10/31/2021,54,3,,
11/7/2021,34,,,
11/14/2021,36,,,
11/21/2021,46,,,
11/28/2021,39,,1,
12/5/2021,45,,,
12/12/2021,43,,,
12/19/2021,50,1,1,
12/26/2021,23,1,,
1/2/2022,33,,,
1/9/2022,37,,,
1/16/2022,32,,,
1/23/2022,34,,,
1/30/2022,33,,,
2/6/2022,35,,,
2/13/2022,36,,,
2/20/2022,40,,,
2/27/2022,44,,,
3/6/2022,39,,,
3/13/2022,31,,,
3/20/2022,42,,,
3/27/2022,36,,,
4/3/2022,45,,,
4/10/2022,45,,,
4/17/2022,46,1,1,
4/24/2022,38,,,
5/1/2022,37,,,
5/8/2022,41,,,
5/15/2022,43,,,
5/22/2022,40,,,
5/29/2022,33,,,
6/5/2022,34,,,
6/12/2022,39,,,
6/19/2022,38,,,
6/26/2022,42,,,
7/3/2022,26,1,,
7/10/2022,,,,
7/17/2022,56,,,
7/24/2022,46,,,
7/31/2022,35,,,
8/7/2022,43,,,
8/14/2022,39,,,
8/21/2022,34,,,
8/28/2022,49,,,
9/4/2022,33,,,
9/11/2022,39,,,
9/18/2022,31,,,
9/25/2022,43,,,
10/2/2022,43,,,
10/9/2022,44,,,
10/16/2022,40,,,
10/23/2022,37,,,
10/30/2022,44,,,
11/6/2022,125,,,
11/13/2022,40,,,
11/20/2022,39,,,
11/27/2022,35,,,
12/4/2022,45,,,
12/11/2022,38,,,
12/18/2022,38,,,
12/25/2022,32,,,
1/1/2023,38,,,
1/8/2023,48,,,
1/15/2023,38,,,
1/22/2023,38,,,
